"Ind";"Anchor";"Compound";"DoseAnchor(M)";"DoseCompound(M)";"plate";"row";"col";"Viability"
"ind";Abraxane;Veliparib (ABT-888);0;1e-05;1;1;2;63.4673727716412
"ind";Abraxane;Veliparib (ABT-888);0;3e-06;1;1;13;71.9255574779267
"ind";Abraxane;Veliparib (ABT-888);0;1e-06;2;1;2;89.2118224194378
"ind";Abraxane;Veliparib (ABT-888);0;3e-07;2;1;13;100.896891970266
"ind";Abraxane;Veliparib (ABT-888);0;1e-07;3;1;2;102.333482454738
"ind";Abraxane;Veliparib (ABT-888);0;1e-08;3;1;13;112.549299047973
"ind";Abraxane;DMSO;0;0;3;1;1;99.408690590765
"ind";Abraxane;Veliparib (ABT-888);0.00025;1e-05;4;1;2;62.2711445893706
"ind";Abraxane;Veliparib (ABT-888);0.00025;3e-06;4;1;13;73.306035508575
"ind";Abraxane;Veliparib (ABT-888);0.00025;1e-06;5;1;2;91.4454330813624
"ind";Abraxane;Veliparib (ABT-888);0.00025;3e-07;5;1;13;101.653153847925
"ind";Abraxane;Veliparib (ABT-888);0.00025;1e-07;6;1;2;89.0786600290193
"ind";Abraxane;Veliparib (ABT-888);0.00025;1e-08;6;1;13;101.572753914088
"ind";Abraxane;DMSO;0.00025;0;6;1;1;94.4725394444727
"ind";Abraxane;Veliparib (ABT-888);0.0025;1e-05;7;1;2;56.0725330236447
"ind";Abraxane;Veliparib (ABT-888);0.0025;3e-06;7;1;13;60.4367419322645
"ind";Abraxane;Veliparib (ABT-888);0.0025;1e-06;8;1;2;65.9508373946234
"ind";Abraxane;Veliparib (ABT-888);0.0025;3e-07;8;1;13;80.4524171276984
"ind";Abraxane;Veliparib (ABT-888);0.0025;1e-07;9;1;2;69.3072554659044
"ind";Abraxane;Veliparib (ABT-888);0.0025;1e-08;9;1;13;74.460667891742
"ind";Abraxane;DMSO;0.0025;0;9;1;1;72.7354542072825
"ind";Abraxane;Veliparib (ABT-888);0.025;1e-05;10;1;2;45.5658250031232
"ind";Abraxane;Veliparib (ABT-888);0.025;3e-06;10;1;13;46.290261906972
"ind";Abraxane;Veliparib (ABT-888);0.025;1e-06;11;1;2;57.0995863451321
"ind";Abraxane;Veliparib (ABT-888);0.025;3e-07;11;1;13;65.7933875241915
"ind";Abraxane;Veliparib (ABT-888);0.025;1e-07;12;1;2;55.0055589016755
"ind";Abraxane;Veliparib (ABT-888);0.025;1e-08;12;1;13;62.531048542158
"ind";Abraxane;DMSO;0.025;0;12;1;1;53.9569748687394
"ind";Abraxane;Erlotinib HCl (OSI-744);0;1e-05;1;1;3;58.1350146597275
"ind";Abraxane;Erlotinib HCl (OSI-744);0;3e-06;1;1;14;74.2426389044951
"ind";Abraxane;Erlotinib HCl (OSI-744);0;1e-06;2;1;3;99.7629179034321
"ind";Abraxane;Erlotinib HCl (OSI-744);0;3e-07;2;1;14;104.946201138022
"ind";Abraxane;Erlotinib HCl (OSI-744);0;1e-07;3;1;3;100.419238196669
"ind";Abraxane;Erlotinib HCl (OSI-744);0;1e-08;3;1;14;107.187907626618
"ind";Abraxane;Erlotinib HCl (OSI-744);0.00025;1e-05;4;1;3;58.695301698658
"ind";Abraxane;Erlotinib HCl (OSI-744);0.00025;3e-06;4;1;14;75.5907336284588
"ind";Abraxane;Erlotinib HCl (OSI-744);0.00025;1e-06;5;1;3;97.8483944789254
"ind";Abraxane;Erlotinib HCl (OSI-744);0.00025;3e-07;5;1;14;111.084233586933
"ind";Abraxane;Erlotinib HCl (OSI-744);0.00025;1e-07;6;1;3;98.8980602818046
"ind";Abraxane;Erlotinib HCl (OSI-744);0.00025;1e-08;6;1;14;104.331476643889
"ind";Abraxane;Erlotinib HCl (OSI-744);0.0025;1e-05;7;1;3;44.7660131613017
"ind";Abraxane;Erlotinib HCl (OSI-744);0.0025;3e-06;7;1;14;58.6405850770185
"ind";Abraxane;Erlotinib HCl (OSI-744);0.0025;1e-06;8;1;3;71.784578427274
"ind";Abraxane;Erlotinib HCl (OSI-744);0.0025;3e-07;8;1;14;76.5820536460184
"ind";Abraxane;Erlotinib HCl (OSI-744);0.0025;1e-07;9;1;3;71.5341661333425
"ind";Abraxane;Erlotinib HCl (OSI-744);0.0025;1e-08;9;1;14;70.3309587901485
"ind";Abraxane;Erlotinib HCl (OSI-744);0.025;1e-05;10;1;3;37.2003235539004
"ind";Abraxane;Erlotinib HCl (OSI-744);0.025;3e-06;10;1;14;50.6594958114566
"ind";Abraxane;Erlotinib HCl (OSI-744);0.025;1e-06;11;1;3;62.2714237558075
"ind";Abraxane;Erlotinib HCl (OSI-744);0.025;3e-07;11;1;14;64.1105722423416
"ind";Abraxane;Erlotinib HCl (OSI-744);0.025;1e-07;12;1;3;52.7431940967465
"ind";Abraxane;Erlotinib HCl (OSI-744);0.025;1e-08;12;1;14;58.769280804446
"ind";Abraxane;Vandetanib (ZD6474);0;1e-05;1;1;4;33.4932724378279
"ind";Abraxane;Vandetanib (ZD6474);0;3e-06;1;1;15;89.3949556020678
"ind";Abraxane;Vandetanib (ZD6474);0;1e-06;2;1;4;107.811007113859
"ind";Abraxane;Vandetanib (ZD6474);0;3e-07;2;1;15;108.819077117634
"ind";Abraxane;Vandetanib (ZD6474);0;1e-07;3;1;4;98.7713187194356
"ind";Abraxane;Vandetanib (ZD6474);0;1e-08;3;1;15;104.278155854434
"ind";Abraxane;Vandetanib (ZD6474);0.00025;1e-05;4;1;4;35.8628371545403
"ind";Abraxane;Vandetanib (ZD6474);0.00025;3e-06;4;1;15;83.9333434298528
"ind";Abraxane;Vandetanib (ZD6474);0.00025;1e-06;5;1;4;99.3497515767669
"ind";Abraxane;Vandetanib (ZD6474);0.00025;3e-07;5;1;15;106.046396065987
"ind";Abraxane;Vandetanib (ZD6474);0.00025;1e-07;6;1;4;95.5240547249966
"ind";Abraxane;Vandetanib (ZD6474);0.00025;1e-08;6;1;15;96.3450832160253
"ind";Abraxane;Vandetanib (ZD6474);0.0025;1e-05;7;1;4;26.5799947935459
"ind";Abraxane;Vandetanib (ZD6474);0.0025;3e-06;7;1;15;61.8191741279713
"ind";Abraxane;Vandetanib (ZD6474);0.0025;1e-06;8;1;4;73.6522018903755
"ind";Abraxane;Vandetanib (ZD6474);0.0025;3e-07;8;1;15;76.9522283413954
"ind";Abraxane;Vandetanib (ZD6474);0.0025;1e-07;9;1;4;68.0822731406294
"ind";Abraxane;Vandetanib (ZD6474);0.0025;1e-08;9;1;15;74.770263470304
"ind";Abraxane;Vandetanib (ZD6474);0.025;1e-05;10;1;4;24.2570508718019
"ind";Abraxane;Vandetanib (ZD6474);0.025;3e-06;10;1;15;44.0996428763356
"ind";Abraxane;Vandetanib (ZD6474);0.025;1e-06;11;1;4;58.6433767413879
"ind";Abraxane;Vandetanib (ZD6474);0.025;3e-07;11;1;15;58.6221600921808
"ind";Abraxane;Vandetanib (ZD6474);0.025;1e-07;12;1;4;57.5121943389234
"ind";Abraxane;Vandetanib (ZD6474);0.025;1e-08;12;1;15;59.5783051386864
"ind";Abraxane;Vatalanib (PTK787) 2HCl;0;1e-05;1;1;5;93.1101025448115
"ind";Abraxane;Vatalanib (PTK787) 2HCl;0;3e-06;1;1;16;94.7502053618102
"ind";Abraxane;Vatalanib (PTK787) 2HCl;0;1e-06;2;1;5;97.5887696925749
"ind";Abraxane;Vatalanib (PTK787) 2HCl;0;3e-07;2;1;16;102.875065342394
"ind";Abraxane;Vatalanib (PTK787) 2HCl;0;1e-07;3;1;5;99.1356309196371
"ind";Abraxane;Vatalanib (PTK787) 2HCl;0;1e-08;3;1;16;103.073552679056
"ind";Abraxane;Vatalanib (PTK787) 2HCl;0.00025;1e-05;4;1;5;88.4167564070442
"ind";Abraxane;Vatalanib (PTK787) 2HCl;0.00025;3e-06;4;1;16;86.0008500618005
"ind";Abraxane;Vatalanib (PTK787) 2HCl;0.00025;1e-06;5;1;5;94.8495886133594
"ind";Abraxane;Vatalanib (PTK787) 2HCl;0.00025;3e-07;5;1;16;103.552323118401
"ind";Abraxane;Vatalanib (PTK787) 2HCl;0.00025;1e-07;6;1;5;99.3165307707715
"ind";Abraxane;Vatalanib (PTK787) 2HCl;0.00025;1e-08;6;1;16;99.5046889492664
"ind";Abraxane;Vatalanib (PTK787) 2HCl;0.0025;1e-05;7;1;5;63.3861353384928
"ind";Abraxane;Vatalanib (PTK787) 2HCl;0.0025;3e-06;7;1;16;67.5884277136897
"ind";Abraxane;Vatalanib (PTK787) 2HCl;0.0025;1e-06;8;1;5;67.9647440706794
"ind";Abraxane;Vatalanib (PTK787) 2HCl;0.0025;3e-07;8;1;16;71.6338285513286
"ind";Abraxane;Vatalanib (PTK787) 2HCl;0.0025;1e-07;9;1;5;68.9814682340001
"ind";Abraxane;Vatalanib (PTK787) 2HCl;0.0025;1e-08;9;1;16;75.2551755712618
"ind";Abraxane;Vatalanib (PTK787) 2HCl;0.025;1e-05;10;1;5;58.0054814329892
"ind";Abraxane;Vatalanib (PTK787) 2HCl;0.025;3e-06;10;1;16;50.8038248593525
"ind";Abraxane;Vatalanib (PTK787) 2HCl;0.025;1e-06;11;1;5;54.1027346446246
"ind";Abraxane;Vatalanib (PTK787) 2HCl;0.025;3e-07;11;1;16;59.0931138712917
"ind";Abraxane;Vatalanib (PTK787) 2HCl;0.025;1e-07;12;1;5;60.3102795363325
"ind";Abraxane;Vatalanib (PTK787) 2HCl;0.025;1e-08;12;1;16;60.9788831527941
"ind";Abraxane;Alisertib (MLN8237);0;1e-05;1;1;6;38.8848138343719
"ind";Abraxane;Alisertib (MLN8237);0;3e-06;1;1;17;69.8817799931185
"ind";Abraxane;Alisertib (MLN8237);0;1e-06;2;1;6;82.0252408333956
"ind";Abraxane;Alisertib (MLN8237);0;3e-07;2;1;17;84.438076347833
"ind";Abraxane;Alisertib (MLN8237);0;1e-07;3;1;6;83.8708101479791
"ind";Abraxane;Alisertib (MLN8237);0;1e-08;3;1;17;100.694775469924
"ind";Abraxane;Alisertib (MLN8237);0.00025;1e-05;4;1;6;38.5406016176299
"ind";Abraxane;Alisertib (MLN8237);0.00025;3e-06;4;1;17;62.7568941896392
"ind";Abraxane;Alisertib (MLN8237);0.00025;1e-06;5;1;6;83.2599939839633
