"Ind";"Anchor";"Compound";"DoseAnchor(M)";"DoseCompound(M)";"plate";"row";"col";"Viability"
"ind";MLN8237;Veliparib (ABT-888);0;1e-05;1;1;2;78.7481707143467
"ind";MLN8237;Veliparib (ABT-888);0;3e-06;1;1;13;84.5802465620818
"ind";MLN8237;Veliparib (ABT-888);0;1e-06;2;1;2;95.3749964410785
"ind";MLN8237;Veliparib (ABT-888);0;3e-07;2;1;13;94.3436494604675
"ind";MLN8237;Veliparib (ABT-888);0;1e-07;3;1;2;86.2639296187683
"ind";MLN8237;Veliparib (ABT-888);0;1e-08;3;1;13;99.4382028869971
"ind";MLN8237;DMSO;0;0;3;1;1;91.4799988611451
"ind";MLN8237;Veliparib (ABT-888);1e-08;1e-05;4;1;2;80.0293824559405
"ind";MLN8237;Veliparib (ABT-888);1e-08;3e-06;4;1;13;90.3692736952994
"ind";MLN8237;Veliparib (ABT-888);1e-08;1e-06;5;1;2;95.0895994077955
"ind";MLN8237;Veliparib (ABT-888);1e-08;3e-07;5;1;13;100.954246505139
"ind";MLN8237;Veliparib (ABT-888);1e-08;1e-07;6;1;2;86.6203911966518
"ind";MLN8237;Veliparib (ABT-888);1e-08;1e-08;6;1;13;92.4952879879281
"ind";MLN8237;DMSO;1e-08;0;6;1;1;96.4643111351536
"ind";MLN8237;Veliparib (ABT-888);1e-07;1e-05;7;1;2;75.9985194886542
"ind";MLN8237;Veliparib (ABT-888);1e-07;3e-06;7;1;13;86.9025994362668
"ind";MLN8237;Veliparib (ABT-888);1e-07;1e-06;8;1;2;84.3328872818381
"ind";MLN8237;Veliparib (ABT-888);1e-07;3e-07;8;1;13;95.7059476696182
"ind";MLN8237;Veliparib (ABT-888);1e-07;1e-07;9;1;2;82.492725564445
"ind";MLN8237;Veliparib (ABT-888);1e-07;1e-08;9;1;13;95.6758819007488
"ind";MLN8237;DMSO;1e-07;0;9;1;1;90.6172024029838
"ind";MLN8237;Veliparib (ABT-888);1e-06;1e-05;10;1;2;76.3012271161347
"ind";MLN8237;Veliparib (ABT-888);1e-06;3e-06;10;1;13;95.9915724738775
"ind";MLN8237;Veliparib (ABT-888);1e-06;1e-06;11;1;2;104.960510206987
"ind";MLN8237;Veliparib (ABT-888);1e-06;3e-07;11;1;13;106.38089001509
"ind";MLN8237;Veliparib (ABT-888);1e-06;1e-07;12;1;2;92.5590638612875
"ind";MLN8237;Veliparib (ABT-888);1e-06;1e-08;12;1;13;110.78780286422
"ind";MLN8237;DMSO;1e-06;0;12;1;1;100.120917917034
"ind";MLN8237;Erlotinib HCl (OSI-744);0;1e-05;1;1;3;58.2583492298494
"ind";MLN8237;Erlotinib HCl (OSI-744);0;3e-06;1;1;14;63.1465421518663
"ind";MLN8237;Erlotinib HCl (OSI-744);0;1e-06;2;1;3;71.4961706004612
"ind";MLN8237;Erlotinib HCl (OSI-744);0;3e-07;2;1;14;80.1803946132164
"ind";MLN8237;Erlotinib HCl (OSI-744);0;1e-07;3;1;3;80.747544344162
"ind";MLN8237;Erlotinib HCl (OSI-744);0;1e-08;3;1;14;101.168123451869
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-08;1e-05;4;1;3;61.3414571648208
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-08;3e-06;4;1;14;64.8012982945648
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-08;1e-06;5;1;3;75.4985621957122
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-08;3e-07;5;1;14;86.8959940779546
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-08;1e-07;6;1;3;87.152691968226
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-08;1e-08;6;1;14;95.5834068843778
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-07;1e-05;7;1;3;61.329613074054
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-07;3e-06;7;1;14;67.1136292457933
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-07;1e-06;8;1;3;73.6533895168408
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-07;3e-07;8;1;14;89.6818608888762
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-07;1e-07;9;1;3;74.9605671497309
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-07;1e-08;9;1;14;104.092475016371
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-06;1e-05;10;1;3;55.0463229223016
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-06;3e-06;10;1;14;74.3854454346155
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-06;1e-06;11;1;3;80.1352959599123
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-06;3e-07;11;1;14;92.9624462602853
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-06;1e-07;12;1;3;85.8275204282094
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-06;1e-08;12;1;14;111.634199812089
"ind";MLN8237;Vandetanib (ZD6474);0;1e-05;1;1;4;44.1597813398628
"ind";MLN8237;Vandetanib (ZD6474);0;3e-06;1;1;15;61.6863024229138
"ind";MLN8237;Vandetanib (ZD6474);0;1e-06;2;1;4;78.6675397887424
"ind";MLN8237;Vandetanib (ZD6474);0;3e-07;2;1;15;87.7148307376932
"ind";MLN8237;Vandetanib (ZD6474);0;1e-07;3;1;4;90.7967998177832
"ind";MLN8237;Vandetanib (ZD6474);0;1e-08;3;1;15;102.490106198218
"ind";MLN8237;Vandetanib (ZD6474);1e-08;1e-05;4;1;4;49.3124163653446
"ind";MLN8237;Vandetanib (ZD6474);1e-08;3e-06;4;1;15;69.3257409674572
"ind";MLN8237;Vandetanib (ZD6474);1e-08;1e-06;5;1;4;90.4799703897731
"ind";MLN8237;Vandetanib (ZD6474);1e-08;3e-07;5;1;15;95.5148478205165
"ind";MLN8237;Vandetanib (ZD6474);1e-08;1e-07;6;1;4;89.2251800814281
"ind";MLN8237;Vandetanib (ZD6474);1e-08;1e-08;6;1;15;92.8292002391595
"ind";MLN8237;Vandetanib (ZD6474);1e-07;1e-05;7;1;4;43.5097229735501
