"Ind";"Anchor";"Compound";"DoseAnchor(M)";"DoseCompound(M)";"plate";"row";"col";"Viability"
"ind";Entinostat;Veliparib (ABT-888);0;1e-05;1;1;2;71.6455865820217
"ind";Entinostat;Veliparib (ABT-888);0;3e-06;1;1;13;66.8684113359922
"ind";Entinostat;Veliparib (ABT-888);0;1e-06;2;1;2;79.9671557395847
"ind";Entinostat;Veliparib (ABT-888);0;3e-07;2;1;13;88.1871933947855
"ind";Entinostat;Veliparib (ABT-888);0;1e-07;3;1;2;87.2365751889475
"ind";Entinostat;Veliparib (ABT-888);0;1e-08;3;1;13;90.1821693563168
"ind";Entinostat;DMSO;0;0;3;1;1;88.189229927827
"ind";Entinostat;Veliparib (ABT-888);1e-07;1e-05;13;1;2;63.3103224776284
"ind";Entinostat;Veliparib (ABT-888);1e-07;3e-06;13;1;13;64.0115982032466
"ind";Entinostat;Veliparib (ABT-888);1e-07;1e-06;14;1;2;73.4063317288011
"ind";Entinostat;Veliparib (ABT-888);1e-07;3e-07;14;1;13;81.2587308975414
"ind";Entinostat;Veliparib (ABT-888);1e-07;1e-07;15;1;2;78.9945783948637
"ind";Entinostat;Veliparib (ABT-888);1e-07;1e-08;15;1;13;86.7511129357922
"ind";Entinostat;DMSO;1e-07;0;15;1;1;83.5371981614534
"ind";Entinostat;Veliparib (ABT-888);1e-06;1e-05;16;1;2;50.0590447007197
"ind";Entinostat;Veliparib (ABT-888);1e-06;3e-06;16;1;13;48.7155231927171
"ind";Entinostat;Veliparib (ABT-888);1e-06;1e-06;17;1;2;56.0371251118986
"ind";Entinostat;Veliparib (ABT-888);1e-06;3e-07;17;1;13;61.1283396559322
"ind";Entinostat;Veliparib (ABT-888);1e-06;1e-07;18;1;2;55.6966403993258
"ind";Entinostat;Veliparib (ABT-888);1e-06;1e-08;18;1;13;61.8319765792797
"ind";Entinostat;DMSO;1e-06;0;18;1;1;58.1367611627836
"ind";Entinostat;Veliparib (ABT-888);1e-05;1e-05;19;1;2;28.8663506006739
"ind";Entinostat;Veliparib (ABT-888);1e-05;3e-06;19;1;13;30.2965280653438
"ind";Entinostat;Veliparib (ABT-888);1e-05;1e-06;20;1;2;35.7423945083263
"ind";Entinostat;Veliparib (ABT-888);1e-05;3e-07;20;1;13;38.1779699661552
"ind";Entinostat;Veliparib (ABT-888);1e-05;1e-07;21;1;2;35.1721652566873
"ind";Entinostat;Veliparib (ABT-888);1e-05;1e-08;21;1;13;35.4271746114575
"ind";Entinostat;DMSO;1e-05;0;21;1;1;36.0149652712086
"ind";Entinostat;Erlotinib HCl (OSI-744);0;1e-05;1;1;3;64.792446292344
"ind";Entinostat;Erlotinib HCl (OSI-744);0;3e-06;1;1;14;62.2156712102998
"ind";Entinostat;Erlotinib HCl (OSI-744);0;1e-06;2;1;3;74.6098342114529
"ind";Entinostat;Erlotinib HCl (OSI-744);0;3e-07;2;1;14;79.7416613564314
"ind";Entinostat;Erlotinib HCl (OSI-744);0;1e-07;3;1;3;85.2430159460537
"ind";Entinostat;Erlotinib HCl (OSI-744);0;1e-08;3;1;14;91.1693861269598
"ind";Entinostat;Erlotinib HCl (OSI-744);1e-07;1e-05;13;1;3;48.9821024163612
"ind";Entinostat;Erlotinib HCl (OSI-744);1e-07;3e-06;13;1;14;57.6949220376782
"ind";Entinostat;Erlotinib HCl (OSI-744);1e-07;1e-06;14;1;3;65.352050154201
"ind";Entinostat;Erlotinib HCl (OSI-744);1e-07;3e-07;14;1;14;73.4974739611542
"ind";Entinostat;Erlotinib HCl (OSI-744);1e-07;1e-07;15;1;3;73.3834281108264
"ind";Entinostat;Erlotinib HCl (OSI-744);1e-07;1e-08;15;1;14;87.6986615845821
"ind";Entinostat;Erlotinib HCl (OSI-744);1e-06;1e-05;16;1;3;38.6716964113631
"ind";Entinostat;Erlotinib HCl (OSI-744);1e-06;3e-06;16;1;14;45.8289589685816
"ind";Entinostat;Erlotinib HCl (OSI-744);1e-06;1e-06;17;1;3;49.6708637940138
"ind";Entinostat;Erlotinib HCl (OSI-744);1e-06;3e-07;17;1;14;54.7701064103272
"ind";Entinostat;Erlotinib HCl (OSI-744);1e-06;1e-07;18;1;3;53.2060490344029
"ind";Entinostat;Erlotinib HCl (OSI-744);1e-06;1e-08;18;1;14;60.8032027286001
"ind";Entinostat;Erlotinib HCl (OSI-744);1e-05;1e-05;19;1;3;16.4523535385942
"ind";Entinostat;Erlotinib HCl (OSI-744);1e-05;3e-06;19;1;14;24.0365206452799
"ind";Entinostat;Erlotinib HCl (OSI-744);1e-05;1e-06;20;1;3;27.5905954675039
"ind";Entinostat;Erlotinib HCl (OSI-744);1e-05;3e-07;20;1;14;32.149596043341
"ind";Entinostat;Erlotinib HCl (OSI-744);1e-05;1e-07;21;1;3;32.9670426972434
"ind";Entinostat;Erlotinib HCl (OSI-744);1e-05;1e-08;21;1;14;37.8981680352267
"ind";Entinostat;Vandetanib (ZD6474);0;1e-05;1;1;4;56.3995689633545
"ind";Entinostat;Vandetanib (ZD6474);0;3e-06;1;1;15;63.2087909752662
