"Ind";"Anchor";"Compound";"DoseAnchor(M)";"DoseCompound(M)";"plate";"row";"col";"Viability"
"ind";Entinostat;Veliparib (ABT-888);0;1e-05;1;1;2;91.7203967115566
"ind";Entinostat;Veliparib (ABT-888);0;1e-07;1;1;13;95.4274131329216
"ind";Entinostat;Veliparib (ABT-888);0;3e-06;2;1;2;90.9330755022822
"ind";Entinostat;Veliparib (ABT-888);0;1e-08;2;1;13;103.05084224932
"ind";Entinostat;Veliparib (ABT-888);0;1e-06;3;1;2;101.245951726916
"ind";Entinostat;Veliparib (ABT-888);0;3e-07;3;1;13;98.8056291161787
"ind";Entinostat;DMSO;0;0;3;1;1;95.6768943064626
"ind";Entinostat;Veliparib (ABT-888);3e-08;1e-05;4;1;2;82.1992315551844
"ind";Entinostat;Veliparib (ABT-888);3e-08;1e-07;4;1;13;88.2328732395294
"ind";Entinostat;Veliparib (ABT-888);3e-08;3e-06;5;1;2;89.3463609715197
"ind";Entinostat;Veliparib (ABT-888);3e-08;1e-08;5;1;13;96.3986694337411
"ind";Entinostat;Veliparib (ABT-888);3e-08;1e-06;6;1;2;90.6624406957488
"ind";Entinostat;Veliparib (ABT-888);3e-08;3e-07;6;1;13;94.6447012755833
"ind";Entinostat;DMSO;3e-08;0;6;1;1;94.1699105895471
"ind";Entinostat;Veliparib (ABT-888);3e-07;1e-05;7;1;2;76.7533919891658
"ind";Entinostat;Veliparib (ABT-888);3e-07;1e-07;7;1;13;86.4126182106715
"ind";Entinostat;Veliparib (ABT-888);3e-07;3e-06;8;1;2;89.5079077822323
"ind";Entinostat;Veliparib (ABT-888);3e-07;1e-08;8;1;13;85.7113382375375
"ind";Entinostat;Veliparib (ABT-888);3e-07;1e-06;9;1;2;90.3316648210968
"ind";Entinostat;Veliparib (ABT-888);3e-07;3e-07;9;1;13;94.1534760549654
"ind";Entinostat;DMSO;3e-07;0;9;1;1;91.686896600164
"ind";Entinostat;Veliparib (ABT-888);1e-06;1e-05;10;1;2;80.670463163047
"ind";Entinostat;Veliparib (ABT-888);1e-06;1e-07;10;1;13;84.4003068511432
"ind";Entinostat;Veliparib (ABT-888);1e-06;3e-06;11;1;2;79.319923045772
"ind";Entinostat;Veliparib (ABT-888);1e-06;1e-08;11;1;13;86.9817634283043
"ind";Entinostat;Veliparib (ABT-888);1e-06;1e-06;12;1;2;88.2298003382386
"ind";Entinostat;Veliparib (ABT-888);1e-06;3e-07;12;1;13;95.1139772012673
"ind";Entinostat;DMSO;1e-06;0;12;1;1;87.9681647426281
"ind";Entinostat;Erlotinib HCl (OSI-744);0;1e-05;1;1;3;46.4839973177962
"ind";Entinostat;Erlotinib HCl (OSI-744);0;1e-07;1;1;14;86.6762292428262
"ind";Entinostat;Erlotinib HCl (OSI-744);0;3e-06;2;1;3;53.7806014326305
"ind";Entinostat;Erlotinib HCl (OSI-744);0;1e-08;2;1;14;100.209506020143
"ind";Entinostat;Erlotinib HCl (OSI-744);0;1e-06;3;1;3;58.593423332759
"ind";Entinostat;Erlotinib HCl (OSI-744);0;3e-07;3;1;14;81.9722758455692
"ind";Entinostat;Erlotinib HCl (OSI-744);3e-08;1e-05;4;1;3;41.3472038244452
"ind";Entinostat;Erlotinib HCl (OSI-744);3e-08;1e-07;4;1;14;82.9514338925648
"ind";Entinostat;Erlotinib HCl (OSI-744);3e-08;3e-06;5;1;3;52.0621911322654
"ind";Entinostat;Erlotinib HCl (OSI-744);3e-08;1e-08;5;1;14;91.8139007079745
"ind";Entinostat;Erlotinib HCl (OSI-744);3e-08;1e-06;6;1;3;57.1794497531253
"ind";Entinostat;Erlotinib HCl (OSI-744);3e-08;3e-07;6;1;14;78.6493720855452
"ind";Entinostat;Erlotinib HCl (OSI-744);3e-07;1e-05;7;1;3;40.1105805478764
"ind";Entinostat;Erlotinib HCl (OSI-744);3e-07;1e-07;7;1;14;80.5861778705014
"ind";Entinostat;Erlotinib HCl (OSI-744);3e-07;3e-06;8;1;3;50.5764433581982
"ind";Entinostat;Erlotinib HCl (OSI-744);3e-07;1e-08;8;1;14;88.1940229874966
