"Ind";"Anchor";"Compound";"DoseAnchor(M)";"DoseCompound(M)";"plate";"row";"col";"Viability"
"ind";Gemcitabine;Veliparib (ABT-888);0;1e-05;1;1;2;61.3876404413532
"ind";Gemcitabine;Veliparib (ABT-888);0;3e-06;1;1;13;67.7251199157244
"ind";Gemcitabine;Veliparib (ABT-888);0;1e-06;2;1;2;82.7858153333823
"ind";Gemcitabine;Veliparib (ABT-888);0;3e-07;2;1;13;89.6326326196675
"ind";Gemcitabine;Veliparib (ABT-888);0;1e-07;3;1;2;27.8758834475285
"ind";Gemcitabine;Veliparib (ABT-888);0;1e-08;3;1;13;35.106085660051
"ind";Gemcitabine;DMSO;0;0;3;1;1;90.6975619654522
"ind";Gemcitabine;Veliparib (ABT-888);1e-09;1e-05;4;1;2;44.466894913098
"ind";Gemcitabine;Veliparib (ABT-888);1e-09;3e-06;4;1;13;55.1673639264143
"ind";Gemcitabine;Veliparib (ABT-888);1e-09;1e-06;5;1;2;78.1640121865749
"ind";Gemcitabine;Veliparib (ABT-888);1e-09;3e-07;5;1;13;78.3279581730499
"ind";Gemcitabine;Veliparib (ABT-888);1e-09;1e-07;6;1;2;25.3837662963778
"ind";Gemcitabine;Veliparib (ABT-888);1e-09;1e-08;6;1;13;30.6585902544818
"ind";Gemcitabine;DMSO;1e-09;0;6;1;1;84.0641968272883
"ind";Gemcitabine;Veliparib (ABT-888);1e-08;1e-05;7;1;2;25.0586374580313
"ind";Gemcitabine;Veliparib (ABT-888);1e-08;3e-06;7;1;13;24.8166329190071
"ind";Gemcitabine;Veliparib (ABT-888);1e-08;1e-06;8;1;2;30.7965167234404
"ind";Gemcitabine;Veliparib (ABT-888);1e-08;3e-07;8;1;13;34.8981597811367
"ind";Gemcitabine;Veliparib (ABT-888);1e-08;1e-07;9;1;2;22.4506989147501
"ind";Gemcitabine;Veliparib (ABT-888);1e-08;1e-08;9;1;13;29.1572871199071
"ind";Gemcitabine;DMSO;1e-08;0;9;1;1;32.5189281916004
"ind";Gemcitabine;Veliparib (ABT-888);1e-07;1e-05;10;1;2;20.0536796462036
"ind";Gemcitabine;Veliparib (ABT-888);1e-07;3e-06;10;1;13;20.0440086750913
"ind";Gemcitabine;Veliparib (ABT-888);1e-07;1e-06;11;1;2;24.0070344801781
"ind";Gemcitabine;Veliparib (ABT-888);1e-07;3e-07;11;1;13;22.9084582140652
"ind";Gemcitabine;Veliparib (ABT-888);1e-07;1e-07;12;1;2;25.263800202342
"ind";Gemcitabine;Veliparib (ABT-888);1e-07;1e-08;12;1;13;26.6283281740429
"ind";Gemcitabine;DMSO;1e-07;0;12;1;1;24.9234741236762
"ind";Gemcitabine;Erlotinib HCl (OSI-744);0;1e-05;1;1;3;56.0082778907497
"ind";Gemcitabine;Erlotinib HCl (OSI-744);0;3e-06;1;1;14;79.1301882529362
"ind";Gemcitabine;Erlotinib HCl (OSI-744);0;1e-06;2;1;3;92.3317546048646
"ind";Gemcitabine;Erlotinib HCl (OSI-744);0;3e-07;2;1;14;96.2314585752875
"ind";Gemcitabine;Erlotinib HCl (OSI-744);0;1e-07;3;1;3;28.0016060719883
"ind";Gemcitabine;Erlotinib HCl (OSI-744);0;1e-08;3;1;14;37.0946215297116
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-09;1e-05;4;1;3;50.6176325405152
