"Ind";"Anchor";"Compound";"DoseAnchor(M)";"DoseCompound(M)";"plate";"row";"col";"Viability"
"ind";Gemcitabine;Veliparib (ABT-888);0;1e-05;1;1;2;71.6455865820217
"ind";Gemcitabine;Veliparib (ABT-888);0;3e-06;1;1;13;66.8684113359922
"ind";Gemcitabine;Veliparib (ABT-888);0;1e-06;2;1;2;79.9671557395847
"ind";Gemcitabine;Veliparib (ABT-888);0;3e-07;2;1;13;88.1871933947855
"ind";Gemcitabine;Veliparib (ABT-888);0;1e-07;3;1;2;87.2365751889475
"ind";Gemcitabine;Veliparib (ABT-888);0;1e-08;3;1;13;90.1821693563168
"ind";Gemcitabine;DMSO;0;0;3;1;1;88.189229927827
"ind";Gemcitabine;Veliparib (ABT-888);1e-09;1e-05;4;1;2;54.7653840148685
"ind";Gemcitabine;Veliparib (ABT-888);1e-09;3e-06;4;1;13;59.0351378688597
"ind";Gemcitabine;Veliparib (ABT-888);1e-09;1e-06;5;1;2;79.2873669133036
"ind";Gemcitabine;Veliparib (ABT-888);1e-09;3e-07;5;1;13;76.9967689960571
"ind";Gemcitabine;Veliparib (ABT-888);1e-09;1e-07;6;1;2;79.8660964767683
"ind";Gemcitabine;Veliparib (ABT-888);1e-09;1e-08;6;1;13;91.5776372143652
"ind";Gemcitabine;DMSO;1e-09;0;6;1;1;82.0205123149743
"ind";Gemcitabine;Veliparib (ABT-888);1e-08;1e-05;7;1;2;35.6240985020857
"ind";Gemcitabine;Veliparib (ABT-888);1e-08;3e-06;7;1;13;33.0843942243923
"ind";Gemcitabine;Veliparib (ABT-888);1e-08;1e-06;8;1;2;40.3037562818928
"ind";Gemcitabine;Veliparib (ABT-888);1e-08;3e-07;8;1;13;39.352193596963
"ind";Gemcitabine;Veliparib (ABT-888);1e-08;1e-07;9;1;2;36.6193433450085
"ind";Gemcitabine;Veliparib (ABT-888);1e-08;1e-08;9;1;13;40.1287915301476
"ind";Gemcitabine;DMSO;1e-08;0;9;1;1;37.9566076790282
"ind";Gemcitabine;Veliparib (ABT-888);1e-07;1e-05;10;1;2;25.6385933046467
"ind";Gemcitabine;Veliparib (ABT-888);1e-07;3e-06;10;1;13;26.9986431967548
"ind";Gemcitabine;Veliparib (ABT-888);1e-07;1e-06;11;1;2;26.8125808156817
"ind";Gemcitabine;Veliparib (ABT-888);1e-07;3e-07;11;1;13;22.453101447975
"ind";Gemcitabine;Veliparib (ABT-888);1e-07;1e-07;12;1;2;26.6024342177691
"ind";Gemcitabine;Veliparib (ABT-888);1e-07;1e-08;12;1;13;24.0532851491583
"ind";Gemcitabine;DMSO;1e-07;0;12;1;1;23.8653633248734
"ind";Gemcitabine;Erlotinib HCl (OSI-744);0;1e-05;1;1;3;64.792446292344
"ind";Gemcitabine;Erlotinib HCl (OSI-744);0;3e-06;1;1;14;62.2156712102998
"ind";Gemcitabine;Erlotinib HCl (OSI-744);0;1e-06;2;1;3;74.6098342114529
"ind";Gemcitabine;Erlotinib HCl (OSI-744);0;3e-07;2;1;14;79.7416613564314
"ind";Gemcitabine;Erlotinib HCl (OSI-744);0;1e-07;3;1;3;85.2430159460537
"ind";Gemcitabine;Erlotinib HCl (OSI-744);0;1e-08;3;1;14;91.1693861269598
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-09;1e-05;4;1;3;54.9287788977398
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-09;3e-06;4;1;14;62.6796465641179
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-09;1e-06;5;1;3;73.2257001025055
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-09;3e-07;5;1;14;77.1148288825248
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-09;1e-07;6;1;3;78.7353188841806
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-09;1e-08;6;1;14;92.6430096298498
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-08;1e-05;7;1;3;45.1975746957523
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-08;3e-06;7;1;14;37.4485959875577
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-08;1e-06;8;1;3;41.4888414222556
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-08;3e-07;8;1;14;38.7774780696382
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-08;1e-07;9;1;3;36.6349272500222
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-08;1e-08;9;1;14;40.3408270862436
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-07;1e-05;10;1;3;30.672194624084
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-07;3e-06;10;1;14;24.0223534589038
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-07;1e-06;11;1;3;24.3311981219033
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-07;3e-07;11;1;14;22.2932483616977
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-07;1e-07;12;1;3;23.7746638170945
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-07;1e-08;12;1;14;23.2230880275174
"ind";Gemcitabine;Vandetanib (ZD6474);0;1e-05;1;1;4;56.3995689633545
"ind";Gemcitabine;Vandetanib (ZD6474);0;3e-06;1;1;15;63.2087909752662
"ind";Gemcitabine;Vandetanib (ZD6474);0;1e-06;2;1;4;88.4927323809639
