"Drug","Gene Name","Dose (uM)","Value"
"Abemaciclib","AAK1",1,-2.458113063664814
"Abemaciclib","AAK1",0.1,-0.6448369781348484
"Abemaciclib","AAK1",0.01,-0.33815191858177573
"Abemaciclib","AAK1",30,-4.130293536575706
"Abemaciclib","AAK1",3,-3.9788941204260535
"Abemaciclib","AAK1",0.3,-1.628815799952286
"Abemaciclib","AAK1",0.03,-0.4377358823718827
"Abemaciclib","AAK1",0.003,-0.1431238484514364
"Abemaciclib","ADCK1",1,-13.019319095130292
"Abemaciclib","ADCK1",0.1,-13.019319095130292
"Abemaciclib","ADCK1",0.01,-0.2011355913190238
"Abemaciclib","ADCK1",30,-13.019319095130292
"Abemaciclib","ADCK1",3,-13.019319095130292
"Abemaciclib","ADCK1",0.3,-13.019319095130292
"Abemaciclib","ADCK1",0.03,0.19101317236174123
"Abemaciclib","ADCK1",0.003,0.06484716148009576
"Abemaciclib","BMP2K",1,-0.17543910096669194
"Abemaciclib","BMP2K",0.1,-0.03839175542777498
"Abemaciclib","BMP2K",0.01,0.017631940771857
"Abemaciclib","BMP2K",30,-1.6737673906499515
"Abemaciclib","BMP2K",3,-0.21328308435847007
"Abemaciclib","BMP2K",0.3,-0.2121823595809092
"Abemaciclib","BMP2K",0.03,0.1215345899884223
"Abemaciclib","BMP2K",0.003,0.1397259420988264
"Abemaciclib","CAMK2D",1,-5.550905670483405
"Abemaciclib","CAMK2D",0.1,-1.1831674404835864
"Abemaciclib","CAMK2D",0.01,-0.02256489427115338
"Abemaciclib","CAMK2D",30,-5.842772160680278
"Abemaciclib","CAMK2D",3,-7.888710887370561
"Abemaciclib","CAMK2D",0.3,-2.487892738960026
"Abemaciclib","CAMK2D",0.03,-0.1510691485471637
"Abemaciclib","CAMK2D",0.003,-0.16076376456164
"Abemaciclib","CAMK2G",1,-6.218257011816933
"Abemaciclib","CAMK2G",0.1,-1.664254112308152
"Abemaciclib","CAMK2G",0.01,0.6463885056830335
"Abemaciclib","CAMK2G",30,-5.838723262027068
"Abemaciclib","CAMK2G",3,-7.53770975051503
"Abemaciclib","CAMK2G",0.3,-2.8388030895903427
"Abemaciclib","CAMK2G",0.03,0.3062050964444793
"Abemaciclib","CAMK2G",0.003,0.17048281112565472
