"Ind";"Anchor";"Compound";"DoseAnchor(M)";"DoseCompound(M)";"plate";"row";"col";"Viability"
"ind";MLN8237;Veliparib (ABT-888);0;1e-05;1;1;2;61.285567761456
"ind";MLN8237;Veliparib (ABT-888);0;3e-06;1;1;13;66.0686045449116
"ind";MLN8237;Veliparib (ABT-888);0;1e-06;2;1;2;87.7373765098
"ind";MLN8237;Veliparib (ABT-888);0;3e-07;2;1;13;91.2549756279361
"ind";MLN8237;Veliparib (ABT-888);0;1e-07;3;1;2;93.0129538298004
"ind";MLN8237;Veliparib (ABT-888);0;1e-08;3;1;13;102.767665767851
"ind";MLN8237;DMSO;0;0;3;1;1;94.5397542020121
"ind";MLN8237;Veliparib (ABT-888);1e-08;1e-05;4;1;2;58.3256701846993
"ind";MLN8237;Veliparib (ABT-888);1e-08;3e-06;4;1;13;63.6387561503399
"ind";MLN8237;Veliparib (ABT-888);1e-08;1e-06;5;1;2;83.6566001355924
"ind";MLN8237;Veliparib (ABT-888);1e-08;3e-07;5;1;13;93.1928310574324
"ind";MLN8237;Veliparib (ABT-888);1e-08;1e-07;6;1;2;89.2311514777756
"ind";MLN8237;Veliparib (ABT-888);1e-08;1e-08;6;1;13;105.952067646979
"ind";MLN8237;DMSO;1e-08;0;6;1;1;90.5732833719999
"ind";MLN8237;Veliparib (ABT-888);1e-07;1e-05;7;1;2;58.4759785529945
"ind";MLN8237;Veliparib (ABT-888);1e-07;3e-06;7;1;13;65.0052207517267
"ind";MLN8237;Veliparib (ABT-888);1e-07;1e-06;8;1;2;73.5021610250264
"ind";MLN8237;Veliparib (ABT-888);1e-07;3e-07;8;1;13;85.9810410223433
"ind";MLN8237;Veliparib (ABT-888);1e-07;1e-07;9;1;2;91.7902267390784
"ind";MLN8237;Veliparib (ABT-888);1e-07;1e-08;9;1;13;95.7839392496833
"ind";MLN8237;DMSO;1e-07;0;9;1;1;84.8830233337315
"ind";MLN8237;Veliparib (ABT-888);1e-06;1e-05;10;1;2;61.4928235625479
"ind";MLN8237;Veliparib (ABT-888);1e-06;3e-06;10;1;13;64.0138426067414
"ind";MLN8237;Veliparib (ABT-888);1e-06;1e-06;11;1;2;77.3866330275261
"ind";MLN8237;Veliparib (ABT-888);1e-06;3e-07;11;1;13;87.2546922597008
"ind";MLN8237;Veliparib (ABT-888);1e-06;1e-07;12;1;2;83.5618702714209
"ind";MLN8237;Veliparib (ABT-888);1e-06;1e-08;12;1;13;89.5175313561668
"ind";MLN8237;DMSO;1e-06;0;12;1;1;85.7417522903032
"ind";MLN8237;Erlotinib HCl (OSI-744);0;1e-05;1;1;3;61.9303331664381
"ind";MLN8237;Erlotinib HCl (OSI-744);0;3e-06;1;1;14;68.7727862455523
"ind";MLN8237;Erlotinib HCl (OSI-744);0;1e-06;2;1;3;93.9317787551168
"ind";MLN8237;Erlotinib HCl (OSI-744);0;3e-07;2;1;14;102.013112283294
"ind";MLN8237;Erlotinib HCl (OSI-744);0;1e-07;3;1;3;93.5506690125541
"ind";MLN8237;Erlotinib HCl (OSI-744);0;1e-08;3;1;14;100.277036940198
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-08;1e-05;4;1;3;57.806846217633
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-08;3e-06;4;1;14;71.0139962689849
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-08;1e-06;5;1;3;84.5228581998656
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-08;3e-07;5;1;14;93.9785961157333
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-08;1e-07;6;1;3;90.3443642746577
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-08;1e-08;6;1;14;94.4391037213299
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-07;1e-05;7;1;3;57.5801516293845
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-07;3e-06;7;1;14;68.7434911719501
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-07;1e-06;8;1;3;83.3735056860164
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-07;3e-07;8;1;14;83.228125460944
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-07;1e-07;9;1;3;103.257742232784
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-07;1e-08;9;1;14;93.5158982242599
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-06;1e-05;10;1;3;60.1085628884121
