"Ind";"Anchor";"Compound";"DoseAnchor(M)";"DoseCompound(M)";"plate";"row";"col";"Viability"
"ind";Dasatinib;Veliparib (ABT-888);0;1e-05;1;1;2;88.3528419454632
"ind";Dasatinib;Veliparib (ABT-888);0;3e-06;1;1;13;95.8689644351912
"ind";Dasatinib;Veliparib (ABT-888);0;1e-06;2;1;2;103.90066443859
"ind";Dasatinib;Veliparib (ABT-888);0;3e-07;2;1;13;106.570214233442
"ind";Dasatinib;Veliparib (ABT-888);0;1e-07;3;1;2;96.8630223728316
"ind";Dasatinib;Veliparib (ABT-888);0;1e-08;3;1;13;104.875093333621
"ind";Dasatinib;DMSO;0;0;3;1;1;99.8401538628808
"ind";Dasatinib;Veliparib (ABT-888);1e-08;1e-05;13;1;2;73.7032732554069
"ind";Dasatinib;Veliparib (ABT-888);1e-08;3e-06;13;1;13;85.4495444688982
"ind";Dasatinib;Veliparib (ABT-888);1e-08;1e-06;14;1;2;90.9429751550796
"ind";Dasatinib;Veliparib (ABT-888);1e-08;3e-07;14;1;13;98.076961604287
"ind";Dasatinib;Veliparib (ABT-888);1e-08;1e-07;15;1;2;89.4011048539786
"ind";Dasatinib;Veliparib (ABT-888);1e-08;1e-08;15;1;13;96.3108880183378
"ind";Dasatinib;DMSO;1e-08;0;15;1;1;92.7796187508681
"ind";Dasatinib;Veliparib (ABT-888);1e-07;1e-05;16;1;2;59.3369750609862
"ind";Dasatinib;Veliparib (ABT-888);1e-07;3e-06;16;1;13;85.1262955562053
"ind";Dasatinib;Veliparib (ABT-888);1e-07;1e-06;17;1;2;75.9797019491954
"ind";Dasatinib;Veliparib (ABT-888);1e-07;3e-07;17;1;13;98.7470502973958
"ind";Dasatinib;Veliparib (ABT-888);1e-07;1e-07;18;1;2;74.5737942826812
"ind";Dasatinib;Veliparib (ABT-888);1e-07;1e-08;18;1;13;83.5087904120231
"ind";Dasatinib;DMSO;1e-07;0;18;1;1;94.2352518246343
"ind";Dasatinib;Veliparib (ABT-888);1e-06;1e-05;19;1;2;60.1016073079466
"ind";Dasatinib;Veliparib (ABT-888);1e-06;3e-06;19;1;13;71.6164719182009
"ind";Dasatinib;Veliparib (ABT-888);1e-06;1e-06;20;1;2;69.3980299374414
"ind";Dasatinib;Veliparib (ABT-888);1e-06;3e-07;20;1;13;82.0250869069108
"ind";Dasatinib;Veliparib (ABT-888);1e-06;1e-07;21;1;2;70.9195508640943
"ind";Dasatinib;Veliparib (ABT-888);1e-06;1e-08;21;1;13;79.6307038745074
"ind";Dasatinib;DMSO;1e-06;0;21;1;1;77.8947491635709
"ind";Dasatinib;Erlotinib HCl (OSI-744);0;1e-05;1;1;3;62.5386700018031
"ind";Dasatinib;Erlotinib HCl (OSI-744);0;3e-06;1;1;14;67.7644974098443
"ind";Dasatinib;Erlotinib HCl (OSI-744);0;1e-06;2;1;3;76.2557691264423
"ind";Dasatinib;Erlotinib HCl (OSI-744);0;3e-07;2;1;14;89.5709230849922
"ind";Dasatinib;Erlotinib HCl (OSI-744);0;1e-07;3;1;3;94.3812991049652
"ind";Dasatinib;Erlotinib HCl (OSI-744);0;1e-08;3;1;14;105.458922289025
"ind";Dasatinib;Erlotinib HCl (OSI-744);1e-08;1e-05;13;1;3;42.5912407198186
"ind";Dasatinib;Erlotinib HCl (OSI-744);1e-08;3e-06;13;1;14;52.0021961116938
"ind";Dasatinib;Erlotinib HCl (OSI-744);1e-08;1e-06;14;1;3;59.291233989218
"ind";Dasatinib;Erlotinib HCl (OSI-744);1e-08;3e-07;14;1;14;78.2570310577825
