"Ind";"Anchor";"Compound";"DoseAnchor(M)";"DoseCompound(M)";"plate";"row";"col";"Viability"
"ind";Entinostat;Veliparib (ABT-888);0;1e-05;1;1;2;64.4927917017499
"ind";Entinostat;Veliparib (ABT-888);0;3e-06;1;1;13;63.7866876534444
"ind";Entinostat;Veliparib (ABT-888);0;1e-06;2;1;2;75.1481437577983
"ind";Entinostat;Veliparib (ABT-888);0;3e-07;2;1;13;83.3073239047627
"ind";Entinostat;Veliparib (ABT-888);0;1e-07;3;1;2;89.2775570608572
"ind";Entinostat;Veliparib (ABT-888);0;1e-08;3;1;13;92.9483693493651
"ind";Entinostat;DMSO;0;0;3;1;1;89.9019055521677
"ind";Entinostat;Veliparib (ABT-888);1e-07;1e-05;13;1;2;47.6533466618925
"ind";Entinostat;Veliparib (ABT-888);1e-07;3e-06;13;1;13;52.5564803804994
"ind";Entinostat;Veliparib (ABT-888);1e-07;1e-06;14;1;2;66.3058342183057
"ind";Entinostat;Veliparib (ABT-888);1e-07;3e-07;14;1;13;71.4944402555075
"ind";Entinostat;Veliparib (ABT-888);1e-07;1e-07;15;1;2;72.571316142262
"ind";Entinostat;Veliparib (ABT-888);1e-07;1e-08;15;1;13;75.7806800253699
"ind";Entinostat;DMSO;1e-07;0;15;1;1;72.2709958413429
"ind";Entinostat;Veliparib (ABT-888);1e-06;1e-05;16;1;2;42.0433756612851
"ind";Entinostat;Veliparib (ABT-888);1e-06;3e-06;16;1;13;47.1774779938237
"ind";Entinostat;Veliparib (ABT-888);1e-06;1e-06;17;1;2;52.8854578983323
"ind";Entinostat;Veliparib (ABT-888);1e-06;3e-07;17;1;13;60.6804653101029
"ind";Entinostat;Veliparib (ABT-888);1e-06;1e-07;18;1;2;56.999876572328
"ind";Entinostat;Veliparib (ABT-888);1e-06;1e-08;18;1;13;60.3055384807153
"ind";Entinostat;DMSO;1e-06;0;18;1;1;56.3593358369191
"ind";Entinostat;Veliparib (ABT-888);1e-05;1e-05;19;1;2;47.2828192346751
"ind";Entinostat;Veliparib (ABT-888);1e-05;3e-06;19;1;13;49.3634920499137
