"Ind";"Anchor";"Compound";"DoseAnchor(M)";"DoseCompound(M)";"plate";"row";"col";"Viability"
"ind";Gemcitabine;Veliparib (ABT-888);0;1e-05;1;1;2;64.4927917017499
"ind";Gemcitabine;Veliparib (ABT-888);0;3e-06;1;1;13;63.7866876534444
"ind";Gemcitabine;Veliparib (ABT-888);0;1e-06;2;1;2;75.1481437577983
"ind";Gemcitabine;Veliparib (ABT-888);0;3e-07;2;1;13;83.3073239047627
"ind";Gemcitabine;Veliparib (ABT-888);0;1e-07;3;1;2;89.2775570608572
"ind";Gemcitabine;Veliparib (ABT-888);0;1e-08;3;1;13;92.9483693493651
"ind";Gemcitabine;DMSO;0;0;3;1;1;89.9019055521677
"ind";Gemcitabine;Veliparib (ABT-888);1e-09;1e-05;4;1;2;62.1122263052476
"ind";Gemcitabine;Veliparib (ABT-888);1e-09;3e-06;4;1;13;64.3639869826578
"ind";Gemcitabine;Veliparib (ABT-888);1e-09;1e-06;5;1;2;76.3552908310348
"ind";Gemcitabine;Veliparib (ABT-888);1e-09;3e-07;5;1;13;86.1143869005356
"ind";Gemcitabine;Veliparib (ABT-888);1e-09;1e-07;6;1;2;83.7770822920397
"ind";Gemcitabine;Veliparib (ABT-888);1e-09;1e-08;6;1;13;87.1032747438876
"ind";Gemcitabine;DMSO;1e-09;0;6;1;1;89.268697153709
"ind";Gemcitabine;Veliparib (ABT-888);1e-08;1e-05;7;1;2;51.6543585243916
"ind";Gemcitabine;Veliparib (ABT-888);1e-08;3e-06;7;1;13;55.5869352420221
"ind";Gemcitabine;Veliparib (ABT-888);1e-08;1e-06;8;1;2;60.2569006456123
"ind";Gemcitabine;Veliparib (ABT-888);1e-08;3e-07;8;1;13;62.9156060237592
"ind";Gemcitabine;Veliparib (ABT-888);1e-08;1e-07;9;1;2;63.5153911862866
"ind";Gemcitabine;Veliparib (ABT-888);1e-08;1e-08;9;1;13;61.0935202916315
"ind";Gemcitabine;DMSO;1e-08;0;9;1;1;63.3738770831475
"ind";Gemcitabine;Veliparib (ABT-888);1e-07;1e-05;10;1;2;46.0304560835789
"ind";Gemcitabine;Veliparib (ABT-888);1e-07;3e-06;10;1;13;48.7734833366532
"ind";Gemcitabine;Veliparib (ABT-888);1e-07;1e-06;11;1;2;53.2168795284819
"ind";Gemcitabine;Veliparib (ABT-888);1e-07;3e-07;11;1;13;52.069124384542
"ind";Gemcitabine;Veliparib (ABT-888);1e-07;1e-07;12;1;2;61.1074517318369
"ind";Gemcitabine;Veliparib (ABT-888);1e-07;1e-08;12;1;13;54.13366605849
"ind";Gemcitabine;DMSO;1e-07;0;12;1;1;57.9055118398911
"ind";Gemcitabine;Erlotinib HCl (OSI-744);0;1e-05;1;1;3;60.663845346349
"ind";Gemcitabine;Erlotinib HCl (OSI-744);0;3e-06;1;1;14;65.5454708765687
"ind";Gemcitabine;Erlotinib HCl (OSI-744);0;1e-06;2;1;3;86.8444432495451
"ind";Gemcitabine;Erlotinib HCl (OSI-744);0;3e-07;2;1;14;87.5107082670877
"ind";Gemcitabine;Erlotinib HCl (OSI-744);0;1e-07;3;1;3;91.7202029102045
"ind";Gemcitabine;Erlotinib HCl (OSI-744);0;1e-08;3;1;14;96.0941863122378
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-09;1e-05;4;1;3;59.0573303205576
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-09;3e-06;4;1;14;64.4118915840659
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-09;1e-06;5;1;3;88.8987196517629
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-09;3e-07;5;1;14;88.3803234293829
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-09;1e-07;6;1;3;85.5180234952517
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-09;1e-08;6;1;14;89.6957446782509
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-08;1e-05;7;1;3;54.2270311489894
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-08;3e-06;7;1;14;58.9720308007034
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-08;1e-06;8;1;3;67.9773626317224
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-08;3e-07;8;1;14;64.5656262487886
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-08;1e-07;9;1;3;64.9405530781762
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-08;1e-08;9;1;14;65.6271042279477
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-07;1e-05;10;1;3;48.0774001488464
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-07;3e-06;10;1;14;53.0523907695654
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-07;1e-06;11;1;3;59.4454553564554
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-07;3e-07;11;1;14;58.0317807924545
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-07;1e-07;12;1;3;59.5989456099466
"ind";Gemcitabine;Erlotinib HCl (OSI-744);1e-07;1e-08;12;1;14;57.5463800863505
"ind";Gemcitabine;Vandetanib (ZD6474);0;1e-05;1;1;4;26.4115665171277
"ind";Gemcitabine;Vandetanib (ZD6474);0;3e-06;1;1;15;75.5049841560419
"ind";Gemcitabine;Vandetanib (ZD6474);0;1e-06;2;1;4;95.2517007966584
"ind";Gemcitabine;Vandetanib (ZD6474);0;3e-07;2;1;15;89.133843256633
"ind";Gemcitabine;Vandetanib (ZD6474);0;1e-07;3;1;4;90.9850139253299
"ind";Gemcitabine;Vandetanib (ZD6474);0;1e-08;3;1;15;92.0430701472455
"ind";Gemcitabine;Vandetanib (ZD6474);1e-09;1e-05;4;1;4;27.4808656557003
"ind";Gemcitabine;Vandetanib (ZD6474);1e-09;3e-06;4;1;15;75.9950286755478
"ind";Gemcitabine;Vandetanib (ZD6474);1e-09;1e-06;5;1;4;95.1871762314965
"ind";Gemcitabine;Vandetanib (ZD6474);1e-09;3e-07;5;1;15;90.0271663084005
"ind";Gemcitabine;Vandetanib (ZD6474);1e-09;1e-07;6;1;4;89.1861472602112
"ind";Gemcitabine;Vandetanib (ZD6474);1e-09;1e-08;6;1;15;87.9899986923999
"ind";Gemcitabine;Vandetanib (ZD6474);1e-08;1e-05;7;1;4;21.8640511406061
"ind";Gemcitabine;Vandetanib (ZD6474);1e-08;3e-06;7;1;15;64.1858111947676
"ind";Gemcitabine;Vandetanib (ZD6474);1e-08;1e-06;8;1;4;63.1788369202718
"ind";Gemcitabine;Vandetanib (ZD6474);1e-08;3e-07;8;1;15;66.4265733667525
"ind";Gemcitabine;Vandetanib (ZD6474);1e-08;1e-07;9;1;4;64.2669557236833
"ind";Gemcitabine;Vandetanib (ZD6474);1e-08;1e-08;9;1;15;67.4787637191079
"ind";Gemcitabine;Vandetanib (ZD6474);1e-07;1e-05;10;1;4;20.6720575637333
"ind";Gemcitabine;Vandetanib (ZD6474);1e-07;3e-06;10;1;15;55.2496477423123
"ind";Gemcitabine;Vandetanib (ZD6474);1e-07;1e-06;11;1;4;57.7656169611618
"ind";Gemcitabine;Vandetanib (ZD6474);1e-07;3e-07;11;1;15;61.4466945214
"ind";Gemcitabine;Vandetanib (ZD6474);1e-07;1e-07;12;1;4;61.756119140699
"ind";Gemcitabine;Vandetanib (ZD6474);1e-07;1e-08;12;1;15;63.7180080973441
"ind";Gemcitabine;Vatalanib (PTK787) 2HCl;0;1e-05;1;1;5;90.5819798042999
"ind";Gemcitabine;Vatalanib (PTK787) 2HCl;0;3e-06;1;1;16;85.0076928435169
